id,sleep_date,total_minutes_asleep_method1
1503960366,2016-03-13,411
1503960366,2016-03-14,354
1503960366,2016-03-15,312
1503960366,2016-03-16,333
1503960366,2016-03-17,402
1503960366,2016-03-18,379
1503960366,2016-03-19,447
1503960366,2016-03-20,469
1503960366,2016-03-21,390
1503960366,2016-03-23,281
1503960366,2016-03-24,303
1503960366,2016-03-25,351
1503960366,2016-03-26,437
1503960366,2016-03-27,483
1503960366,2016-03-28,73
1503960366,2016-03-29,349
1503960366,2016-03-31,308
1503960366,2016-04-01,283
1503960366,2016-04-02,439
1503960366,2016-04-03,379
1503960366,2016-04-04,294
1503960366,2016-04-05,280
1503960366,2016-04-09,380
1503960366,2016-04-10,455
1503960366,2016-04-11,310
1644430081,2016-03-27,373
1644430081,2016-03-28,466
1644430081,2016-03-29,56
1644430081,2016-03-30,538
1844505072,2016-04-03,169
1844505072,2016-04-04,771
1844505072,2016-04-09,221
1844505072,2016-04-10,277
1927972279,2016-03-11,29
1927972279,2016-03-12,608
1927972279,2016-03-13,505
1927972279,2016-03-14,173
1927972279,2016-03-15,68
1927972279,2016-03-16,599
1927972279,2016-03-17,6
1927972279,2016-03-18,523
1927972279,2016-03-19,583
1927972279,2016-03-20,548
1927972279,2016-03-21,334
1927972279,2016-03-22,379
1927972279,2016-03-23,447
1927972279,2016-03-24,428
1927972279,2016-03-25,60
1927972279,2016-03-26,387
1927972279,2016-03-27,112
1927972279,2016-03-28,219
1927972279,2016-03-29,563
1927972279,2016-03-30,401
1927972279,2016-03-31,493
1927972279,2016-04-01,369
1927972279,2016-04-02,280
1927972279,2016-04-03,107
1927972279,2016-04-04,465
1927972279,2016-04-05,393
1927972279,2016-04-06,414
1927972279,2016-04-09,39
1927972279,2016-04-10,479
1927972279,2016-04-11,496
1927972279,2016-04-12,482
2022484408,2016-03-13,135
2026352035,2016-03-11,126
2026352035,2016-03-12,540
2026352035,2016-03-13,648
2026352035,2016-03-14,510
2026352035,2016-03-15,422
2026352035,2016-03-16,144
2026352035,2016-03-17,479
2026352035,2016-03-18,575
2026352035,2016-03-19,515
2026352035,2016-03-20,545
2026352035,2016-03-21,567
2026352035,2016-03-22,520
2026352035,2016-03-23,562
2026352035,2016-03-24,531
2026352035,2016-03-25,495
2026352035,2016-03-26,579
2026352035,2016-03-27,545
2026352035,2016-03-28,510
2026352035,2016-03-29,482
2026352035,2016-03-30,468
2026352035,2016-03-31,524
2026352035,2016-04-01,514
2026352035,2016-04-02,528
2026352035,2016-04-03,534
2026352035,2016-04-04,493
2026352035,2016-04-05,531
2026352035,2016-04-06,465
2026352035,2016-04-07,540
2026352035,2016-04-08,521
2026352035,2016-04-09,490
2026352035,2016-04-10,504
2026352035,2016-04-11,541
2026352035,2016-04-12,341
2347167796,2016-03-11,14
2347167796,2016-03-12,474
2347167796,2016-03-13,577
2347167796,2016-03-14,432
2347167796,2016-03-15,501
2347167796,2016-03-16,446
2347167796,2016-03-17,383
2347167796,2016-03-18,435
2347167796,2016-03-19,250
2347167796,2016-03-20,529
2347167796,2016-03-21,452
2347167796,2016-03-22,488
2347167796,2016-03-23,449
2347167796,2016-03-24,435
2347167796,2016-03-25,313
2347167796,2016-03-27,107
2347167796,2016-03-28,516
2347167796,2016-03-29,422
2347167796,2016-03-30,472
2347167796,2016-03-31,517
2347167796,2016-04-01,374
2347167796,2016-04-02,417
2347167796,2016-04-03,579
2347167796,2016-04-04,472
2347167796,2016-04-05,395
2347167796,2016-04-06,372
2347167796,2016-04-07,70
2347167796,2016-04-08,380
2347167796,2016-04-09,18
2347167796,2016-04-10,601
2347167796,2016-04-11,353
3977333714,2016-03-13,304
3977333714,2016-03-14,303
3977333714,2016-03-15,257
3977333714,2016-03-16,208
3977333714,2016-03-17,356
3977333714,2016-04-01,297
3977333714,2016-04-02,199
3977333714,2016-04-03,222
3977333714,2016-04-04,205
3977333714,2016-04-05,378
3977333714,2016-04-06,296
3977333714,2016-04-07,221
3977333714,2016-04-08,305
3977333714,2016-04-09,273
3977333714,2016-04-10,293
3977333714,2016-04-11,282
4020332650,2016-03-12,384
4020332650,2016-03-13,505
4020332650,2016-03-14,265
4020332650,2016-03-15,331
4020332650,2016-03-16,459
4020332650,2016-03-17,374
4020332650,2016-03-30,366
4020332650,2016-03-31,259
4020332650,2016-04-01,429
4020332650,2016-04-02,499
4020332650,2016-04-03,387
4020332650,2016-04-04,463
4020332650,2016-04-06,245
4020332650,2016-04-10,74
4020332650,2016-04-11,426
4319703577,2016-03-11,78
4319703577,2016-03-12,503
4319703577,2016-03-13,364
4319703577,2016-03-14,94
4319703577,2016-03-15,458
4319703577,2016-03-16,496
4319703577,2016-03-17,495
4319703577,2016-03-18,481
4319703577,2016-03-19,473
4319703577,2016-03-20,450
4319703577,2016-03-21,428
4319703577,2016-03-22,63
4319703577,2016-03-23,490
4319703577,2016-03-24,412
4319703577,2016-03-25,519
4319703577,2016-03-26,489
4319703577,2016-03-27,583
4319703577,2016-03-28,498
4319703577,2016-03-29,514
4319703577,2016-03-30,454
4319703577,2016-03-31,38
4319703577,2016-04-01,466
4319703577,2016-04-02,529
4319703577,2016-04-03,568
4319703577,2016-04-04,473
4319703577,2016-04-05,450
4319703577,2016-04-06,470
4319703577,2016-04-07,433
4445114986,2016-03-12,361
4445114986,2016-03-13,348
4445114986,2016-03-15,487
4445114986,2016-03-16,388
4445114986,2016-03-17,217
4445114986,2016-03-19,137
4445114986,2016-03-20,539
4445114986,2016-03-21,195
4445114986,2016-03-22,344
4445114986,2016-03-24,380
4445114986,2016-03-25,325
4445114986,2016-03-26,156
4445114986,2016-03-27,318
4445114986,2016-03-28,359
4445114986,2016-03-29,442
4445114986,2016-03-31,360
4445114986,2016-04-01,311
4445114986,2016-04-02,469
4445114986,2016-04-05,465
4445114986,2016-04-06,431
4445114986,2016-04-07,262
4445114986,2016-04-08,219
4445114986,2016-04-09,391
4445114986,2016-04-10,347
4445114986,2016-04-11,395
4445114986,2016-04-12,308
4558609924,2016-03-30,96
4558609924,2016-03-31,190
4558609924,2016-04-02,86
4558609924,2016-04-03,274
4702921684,2016-03-11,119
4702921684,2016-03-12,454
4702921684,2016-03-13,281
4702921684,2016-03-14,437
4702921684,2016-03-15,453
4702921684,2016-03-16,461
4702921684,2016-03-17,446
4702921684,2016-03-18,345
4702921684,2016-03-21,99
4702921684,2016-03-22,428
4702921684,2016-03-23,429
4702921684,2016-03-24,428
4702921684,2016-03-25,458
4702921684,2016-03-26,404
4702921684,2016-03-27,563
4702921684,2016-03-28,419
4702921684,2016-03-29,413
4702921684,2016-03-30,421
4702921684,2016-03-31,420
4702921684,2016-04-01,454
4702921684,2016-04-02,538
4702921684,2016-04-03,558
4702921684,2016-04-04,419
4702921684,2016-04-05,404
4702921684,2016-04-06,454
4702921684,2016-04-07,448
4702921684,2016-04-08,345
4702921684,2016-04-09,425
4702921684,2016-04-10,533
4702921684,2016-04-11,329
5553957443,2016-03-12,707
5553957443,2016-03-13,756
5553957443,2016-03-14,273
5553957443,2016-03-15,378
5553957443,2016-03-16,319
5553957443,2016-03-17,311
5553957443,2016-03-18,105
5553957443,2016-03-21,144
5553957443,2016-03-22,526
5553957443,2016-03-23,249
5553957443,2016-03-24,364
5553957443,2016-03-25,607
5553957443,2016-03-26,348
5553957443,2016-03-27,665
5553957443,2016-03-28,613
5553957443,2016-03-29,314
5553957443,2016-03-30,360
5553957443,2016-03-31,351
5553957443,2016-04-01,337
5553957443,2016-04-02,791
5553957443,2016-04-03,742
5553957443,2016-04-04,413
5553957443,2016-04-05,340
5553957443,2016-04-06,385
5553957443,2016-04-07,338
5553957443,2016-04-08,379
5553957443,2016-04-09,619
5553957443,2016-04-10,629
5553957443,2016-04-11,428
5553957443,2016-04-12,346
5577150313,2016-03-11,156
5577150313,2016-03-12,523
5577150313,2016-03-13,419
5577150313,2016-03-14,364
5577150313,2016-03-15,470
5577150313,2016-03-16,446
5577150313,2016-03-17,432
5577150313,2016-03-18,421
5577150313,2016-03-19,366
5577150313,2016-03-20,619
5577150313,2016-03-21,387
5577150313,2016-03-22,99
5577150313,2016-03-23,511
5577150313,2016-03-24,390
5577150313,2016-03-25,430
5577150313,2016-03-26,438
5577150313,2016-03-27,330
5577150313,2016-03-28,484
5577150313,2016-03-29,451
5577150313,2016-03-30,432
5577150313,2016-03-31,426
5577150313,2016-04-01,435
5577150313,2016-04-02,355
5577150313,2016-04-03,389
5577150313,2016-04-04,435
5577150313,2016-04-05,390
5577150313,2016-04-06,393
5577150313,2016-04-07,454
5577150313,2016-04-08,451
5577150313,2016-04-09,499
5577150313,2016-04-10,412
5577150313,2016-04-11,312
6117666160,2016-03-11,78
6117666160,2016-03-12,644
6117666160,2016-03-13,117
6117666160,2016-03-14,626
6117666160,2016-03-15,482
6117666160,2016-03-16,606
6117666160,2016-03-17,638
6117666160,2016-03-18,598
6117666160,2016-03-19,611
6117666160,2016-03-20,535
6117666160,2016-03-21,493
6117666160,2016-03-22,376
6117666160,2016-03-23,484
6117666160,2016-03-24,699
6117666160,2016-03-25,510
6117666160,2016-03-26,436
6117666160,2016-03-27,496
6117666160,2016-03-28,21
6117666160,2016-03-29,556
6117666160,2016-03-30,101
6117666160,2016-03-31,589
6117666160,2016-04-01,558
6117666160,2016-04-02,454
6117666160,2016-04-05,61
6117666160,2016-04-06,523
6117666160,2016-04-07,499
6117666160,2016-04-09,435
6775888955,2016-03-11,66
6775888955,2016-03-12,421
6775888955,2016-03-13,37
6775888955,2016-03-14,590
6775888955,2016-03-15,119
6775888955,2016-03-18,278
6775888955,2016-03-19,387
6775888955,2016-03-21,364
6775888955,2016-03-25,36
6775888955,2016-03-26,332
6775888955,2016-03-27,363
6775888955,2016-03-28,454
6775888955,2016-03-31,290
6775888955,2016-04-01,10
6775888955,2016-04-02,429
6775888955,2016-04-06,441
6775888955,2016-04-07,275
6962181067,2016-03-11,23
6962181067,2016-03-12,522
6962181067,2016-03-13,483
6962181067,2016-03-14,431
6962181067,2016-03-15,360
6962181067,2016-03-16,329
6962181067,2016-03-17,381
6962181067,2016-03-18,421
6962181067,2016-03-19,487
6962181067,2016-03-20,449
6962181067,2016-03-21,427
6962181067,2016-03-22,537
6962181067,2016-03-23,563
6962181067,2016-03-24,461
6962181067,2016-03-25,503
6962181067,2016-03-26,476
6962181067,2016-03-27,516
6962181067,2016-03-28,515
6962181067,2016-03-29,397
6962181067,2016-03-30,418
6962181067,2016-03-31,509
6962181067,2016-04-01,527
6962181067,2016-04-02,399
6962181067,2016-04-03,537
6962181067,2016-04-04,363
6962181067,2016-04-05,358
6962181067,2016-04-06,474
6962181067,2016-04-07,423
6962181067,2016-04-08,402
6962181067,2016-04-09,434
6962181067,2016-04-10,414
6962181067,2016-04-11,393
6962181067,2016-04-12,366
7007744171,2016-03-14,87
7007744171,2016-03-24,62
7007744171,2016-03-26,57
7007744171,2016-03-30,63
7007744171,2016-04-02,56
7007744171,2016-04-03,70
7007744171,2016-04-05,66
7007744171,2016-04-07,63
7086361926,2016-03-12,557
7086361926,2016-03-13,20
7086361926,2016-03-14,414
7086361926,2016-03-15,392
7086361926,2016-03-16,404
7086361926,2016-03-17,396
7086361926,2016-03-20,460
7086361926,2016-03-21,521
7086361926,2016-03-23,440
7086361926,2016-03-25,281
7086361926,2016-03-26,311
7086361926,2016-03-27,68
7086361926,2016-03-28,228
7086361926,2016-03-29,470
7086361926,2016-03-30,615
7086361926,2016-03-31,635
7086361926,2016-04-01,410
7086361926,2016-04-02,552
7086361926,2016-04-05,89
7086361926,2016-04-06,454
7086361926,2016-04-07,503
7086361926,2016-04-08,389
7086361926,2016-04-09,466
7086361926,2016-04-10,36
7086361926,2016-04-11,497
7086361926,2016-04-12,410
8053475328,2016-03-29,498
8378563200,2016-03-11,110
8378563200,2016-03-12,577
8378563200,2016-03-13,521
8378563200,2016-03-14,331
8378563200,2016-03-15,349
8378563200,2016-03-16,382
8378563200,2016-03-17,390
8378563200,2016-03-18,561
8378563200,2016-03-19,489
8378563200,2016-03-20,443
8378563200,2016-03-21,416
8378563200,2016-03-22,445
8378563200,2016-03-23,356
8378563200,2016-03-24,420
8378563200,2016-03-25,271
8378563200,2016-03-26,615
8378563200,2016-03-27,568
8378563200,2016-03-28,434
8378563200,2016-03-29,321
8378563200,2016-03-30,563
8378563200,2016-03-31,428
8378563200,2016-04-01,408
8378563200,2016-04-02,582
8378563200,2016-04-03,529
8378563200,2016-04-04,417
8378563200,2016-04-05,414
8378563200,2016-04-06,403
8378563200,2016-04-07,458
8378563200,2016-04-08,302
8378563200,2016-04-09,405
8378563200,2016-04-10,568
8378563200,2016-04-11,330
8378563200,2016-04-12,247
8792009665,2016-03-27,391
8792009665,2016-03-28,389
8792009665,2016-03-29,196
8792009665,2016-03-30,442
8792009665,2016-04-01,480
8792009665,2016-04-03,479
8792009665,2016-04-04,566
8792009665,2016-04-05,384
8792009665,2016-04-06,427
8792009665,2016-04-07,446
8792009665,2016-04-08,424
8792009665,2016-04-09,601
